edges_version;edge_disallow;edge_from;edge_id;edge_numLanes;edge_priority;edge_shape;edge_speed;edge_to;edge_type;lane_index;param_key;param_value
1.9;;452480343;160512744#1;2;14;4783.69,3008.32 4799.58,2977.40 4802.91,2965.28 4803.90,2953.99 4803.11,2945.88 4801.20,2933.70 4797.21,2924.10 4791.20,2913.62 4782.56,2904.27 4770.14,2893.72 4757.70,2885.48 4725.55,2867.77;22.22;1725691293;highway.motorway;1;origId;160512744
1.9;;1725691293;160512745;2;9;4725.55,2867.77 4524.46,2760.02 4442.68,2722.69 4401.11,2714.16 4370.25,2711.53 4326.29,2708.76 4280.57,2706.83 4254.15,2708.63;22.22;3643008808;highway.motorway_link;0;origId;160512745
1.9;;1725691293;160512745;2;9;4725.55,2867.77 4524.46,2760.02 4442.68,2722.69 4401.11,2714.16 4370.25,2711.53 4326.29,2708.76 4280.57,2706.83 4254.15,2708.63;22.22;3643008808;highway.motorway_link;1;origId;160512745
1.9;;452480343;160512751;2;14;4788.73,3012.27 4890.68,2871.72 5045.28,2673.30;22.22;1192534173;highway.motorway;0;origId;160512751
1.9;;452480343;160512751;2;14;4788.73,3012.27 4890.68,2871.72 5045.28,2673.30;22.22;1192534173;highway.motorway;1;origId;160512751
1.9;tram rail_urban rail rail_electric rail_fast ship;308771037;174648974#0;1;10;;22.22;5279544115;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;5279544115;174648974#1;1;10;;22.22;2389190028;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7484374660;174648974#10;1;10;3469.64,3705.59 3473.45,3708.32 3493.30,3716.43 3581.89,3719.71;22.22;7438207057;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207057;174648974#11;1;10;;22.22;308772125;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;308772125;174648974#12;1;10;3613.69,3720.89 3661.32,3724.44 3681.13,3731.71;22.22;7438207045;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207045;174648974#13;1;10;3681.13,3731.71 3693.11,3736.09 3731.63,3754.84;22.22;7438207043;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207041;174648974#15;1;10;3781.62,3779.17 3809.67,3792.82 3825.35,3798.06 3838.77,3801.67 3858.77,3803.19 3929.44,3805.91 3939.52,3808.29 3943.70,3812.79;22.22;7438207039;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7438207039;174648974#17;1;10;3943.70,3812.79 3945.49,3814.72 3947.92,3843.26 3951.65,3849.91 3963.93,3855.70 4001.54,3862.69 4069.42,3875.98;22.22;1698688817;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;2389190028;174648974#2;1;10;;22.22;9684614886;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;9684614886;174648974#3;1;10;3072.60,3477.94 3069.19,3526.75 3074.34,3569.41 3084.47,3581.56 3107.73,3586.43;22.22;308772136;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;308772136;174648974#4;1;10;;22.22;308772135;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;308772135;174648974#5;1;10;3127.24,3594.05 3143.95,3599.36 3161.45,3597.52;22.22;2389189944;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;2389189944;174648974#6;1;10;3161.45,3597.52 3177.23,3596.87 3214.43,3599.48;22.22;cluster_308771859_308772132;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;cluster_308771859_308772132;174648974#8;1;10;3237.18,3600.74 3288.70,3600.03 3301.07,3600.96 3306.66,3602.53 3357.80,3640.20 3367.84,3646.21;22.22;7484374663;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;7484374663;174648974#9;1;10;3367.84,3646.21 3406.88,3669.51 3447.89,3690.00 3469.64,3705.59;22.22;7484374660;highway.tertiary;0;origId;174648974
1.9;tram rail_urban rail rail_electric rail_fast ship;cluster_264191653_7485257256;179129153;1;10;3340.75,3337.77 3365.33,3336.30 3374.53,3335.69 3621.08,3302.60 3645.15,3297.67;22.22;263152682;highway.tertiary;0;origId;179129153
